input1	label
z w l f h t m v c k	zwlfhtmvck
n x b k j m t f	nxbkjmtf
s l b m t f	slbmtf
l b s w r q f z	lbswrqfz
p b f w	pbfw
z k b j f w q m h c v s p	zkbjfwqmhcvsp
n m x v r k	nmxvrk
n d t z m j h	ndtzmjh
s z p h r b t n q	szphrbtnq
b q n t	bqnt
r f n w s	rfnws
w g x b q d n	wgxbqdn
d m f w	dmfw
z c t l g m n b j p v	zctlgmnbjpv
p w r	pwr
j b q p h z v	jbqphzv
d r x c q	drxcq
t n l s h q d	tnlshqd
f l m q x w	flmqxw
v m c q r g l	vmcqrgl
r t l h c w f	rtlhcwf
t x z k	txzk
k z m t f	kzmtf
h z x t q r w d	hzxtqrwd
w h x f	whxf
w h p z c	whpzc
h z t c j r p w f v	hztcjrpwfv
j d v g z l	jdvgzl
k f z b	kfzb
h s q g	hsqg
n t p s l c h d	ntpslchd
r k f c t	rkfct
r c n f w l p s d g	rcnfwlpsdg
t r m w x z b c j	trmwxzbcj
c s x p z	csxpz
n d f b s w t x	ndfbswtx
v z w f k j	vzwfkj
d k v p j	dkvpj
z s c q p r	zscqpr
b q x r j v l	bqxrjvl
s x v g w n d	sxvgwnd
d r h n v b g x k	drhnvbgxk
p h t q r s g b	phtqrsgb
x b z g v	xbzgv
q b d c v x t g	qbdcvxtg
c q k	cqk
t w m f s p	twmfsp
z v q x f g h t	zvqxfght
r p h v x g l t j m q	rphvxgltjmq
p q d b k l v w x	pqdbklvwx
s r w b v p f	srwbvpf
x k w t	xkwt
s v q r c x l b t	svqrcxlbt
k s l c m	kslcm
r j d v	rjdv
n k g h f v l	nkghfvl
n v t x d h w	nvtxdhw
j p k w b	jpkwb
h q f d r t k w s p l	hqfdrtkwspl
s q j v k	sqjvk
p w s c r f k l g h n t	pwscrfklghnt
p t r l n	ptrln
n m s k h t	nmskht
d s t b x c w	dstbxcw
t j q n r k	tjqnrk
v t w b s c l z	vtwbsclz
t f r n q l c p m h w d	tfrnqlcpmhwd
p j g w	pjgw
q r c	qrc
h q w	hqw
w x f n t r b g q	wxfntrbgq
s l v x	slvx
p f v	pfv
z n s q f l t	znsqflt
b f d t z	bfdtz
q c v	qcv
q w k	qwk
h k s d q	hksdq
n v q c d l x	nvqcdlx
b h c w m g s x	bhcwmgsx
x b z	xbz
d t f n k l	dtfnkl
r v g x l k	rvgxlk
t j w g x r q n b	tjwgxrqnb
f j q w z d n s b x	fjqwzdnsbx
c f s w	cfsw
c z k	czk
h x v b w l r	hxvbwlr
d q r c k n m v l	dqrcknmvl
g w d c b h	gwdcbh
k g s c b	kgscb
d h f j g n c s	dhfjgncs
x d q h	xdqh
b w x g r	bwxgr
r j l f x	rjlfx
z w v	zwv
m w d p f h	mwdpfh
l z v f b s	lzvfbs
j f b w k s g	jfbwksg
f l j v	fljv
s z n j r d g h	sznjrdgh
k j x c	kjxc
r s w n p	rswnp
q p x m c r b	qpxmcrb
h q d m s	hqdms
c l f j k q	clfjkq
b x r q k	bxrqk
s x l c k w b	sxlckwb
j l h g n k q s	jlhgnkqs
c t p w	ctpw
g r m p w c	grmpwc
m p z r k	mpzrk
q s n w v p j g z f	qsnwvpjgzf
k n v h q	knvhq
b r p l k t	brplkt
c s g d p r h k z x q	csgdprhkzxq
w c b d p n t	wcbdpnt
c q z j x	cqzjx
q x g m f k s b	qxgmfksb
q x f z g c t	qxfzgct
v q t p b d m	vqtpbdm
w d t c m n p	wdtcmnp
s g x l	sgxl
m t j v q k s x	mtjvqksx
c b l d s g w p	cbldsgwp
t f k w	tfkw
r j s f w d	rjsfwd
d h b v k	dhbvk
b s w c x t r	bswcxtr
z v g q m l	zvgqml
c l w n b r q	clwnbrq
m r p l s f w b g	mrplsfwbg
b f c k q m j	bfckqmj
h q m g s v d f z r n	hqmgsvdfzrn
v d x q f g m p s l	vdxqfgmpsl
x l t v p g k m s f q c z w	xltvpgkmsfqczw
t n j c z s q m h d	tnjczsqmhd
h j d q	hjdq
j t b w l	jtbwl
x l p v w	xlpvw
n p g m v c x b t j w	npgmvcxbtjw
z t p h	ztph
n t w c l q x z j	ntwclqxzj
r k n x w	rknxw
j r f	jrf
w n l s r v q x	wnlsrvqx
v w c g d m p	vwcgdmp
l n q m z	lnqmz
z q x d r j v p g l w	zqxdrjvpglw
b r k n w p z x	brknwpzx
f c b s	fcbs
k q z h g j v x n t	kqzhgjvxnt
k z g l x f r c	kzglxfrc
g r q p b c l	grqpbcl
j n r b x t s d	jnrbxtsd
m d p f z j n q k g	mdpfzjnqkg
f h t l b c k p d	fhtlbckpd
x j p t	xjpt
n h j p t f c k	nhjptfck
j f p g c h	jfpgch
p g x f	pgxf
t n s	tns
g p k c	gpkc
x c j l m n t v	xcjlmntv
v w d l	vwdl
n q p f m	nqpfm
c b g f q s	cbgfqs
f w b r p g x	fwbrpgx
r s m v l t h f	rsmvlthf
h p r s f d v l k j q b m	hprsfdvlkjqbm
z p d	zpd
r b n s h t	rbnsht
b m h t v s c	bmhtvsc
b g m v h k f	bgmvhkf
r j l t s b	rjltsb
z w h v q d j c	zwhvqdjc
r p w	rpw
s n f v t p x j	snfvtpxj
l g j q s w	lgjqsw
v s j m k	vsjmk
b m p j q	bmpjq
d c q f w j	dcqfwj
q j h x p t	qjhxpt
b r d h t	brdht
m v g b r h p w	mvgbrhpw
h r q k t b z	hrqktbz
f v t c l p j	fvtclpj
z c n g	zcng
t k p h	tkph
g w s l z n j	gwslznj
r f n z	rfnz
n j p b k f z	njpbkfz
q z t f n m d c s	qztfnmdcs
m s p r f k	msprfk
x r q z	xrqz
z g k c s p v	zgkcspv
p x j n r	pxjnr
f j b w r p d s	fjbwrpds
p h z	phz
x g r f d k l q c s v t j m	xgrfdklqcsvtjm
r n v c	rnvc
f c x m	fcxm
m v p t r d f j	mvptrdfj
n c k s f p q	ncksfpq
q g f z v m k h d n	qgfzvmkhdn
s j v b n c l	sjvbncl
d l c w n j	dlcwnj
q v b l g r t	qvblgrt
l s v d h g c	lsvdhgc
j w s l	jwsl
p k x c m s q w j b	pkxcmsqwjb
p s b r q d z	psbrqdz
t z s	tzs
s b x q v t	sbxqvt
d f h l p	dfhlp
q x f k p j h d	qxfkpjhd
w b j x	wbjx
c f b t r x j m	cfbtrxjm
q j l w m	qjlwm
l v m f d q g p	lvmfdqgp
p v c w j	pvcwj
t z c w p k g x r d j	tzcwpkgxrdj
j k z s	jkzs
r g l f v h	rglfvh
s n p v b l g	snpvblg
d r j k b n f c	drjkbnfc
l d q z n f s w	ldqznfsw
d c f b	dcfb
x k f p t h s b	xkfpthsb
b r x c m h z t v k	brxcmhztvk
q n v s t m	qnvstm
l q n p f b	lqnpfb
p r n m d w h t s	prnmdwhts
v d c	vdc
t j q s h l r z v w c	tjqshlrzvwc
w x s d g j n	wxsdgjn
k x p m l	kxpml
l z t n f s w q d	lztnfswqd
p c d v t g	pcdvtg
b c t n d z	bctndz
c t m p d x	ctmpdx
w r p	wrp
c z h d j q	czhdjq
n g q t x j b k h z	ngqtxjbkhz
l k m b d g w f c t s	lkmbdgwfcts
h n r j m	hnrjm
l m s z w t g h	lmszwtgh
p c d s j m w h	pcdsjmwh
z p c	zpc
j s h f d c	jshfdc
n b z l	nbzl
t r b p n z k	trbpnzk
t s g q k	tsgqk
q p l c w m r t	qplcwmrt
k h p t w f g n q	khptwfgnq
f v j z l c	fvjzlc
k t p l s n	ktplsn
d r k c	drkc
k s x t r l w z	ksxtrlwz
c b j r m p	cbjrmp
x b m q k g v s j t	xbmqkgvsjt
g x q n r b k s d p	gxqnrbksdp
k w d q	kwdq
v b p n s	vbpns
h g v m n j z w	hgvmnjzw
h b d n r m p w v x	hbdnrmpwvx
d n h x	dnhx
q h v w f	qhvwf
v r j p	vrjp
m t q	mtq
t c f k v p	tcfkvp
s h v r m g b	shvrmgb
h r k s n l	hrksnl
d f k n r j g	dfknrjg
m x z v p f	mxzvpf
n m v	nmv
k l b h d m	klbhdm
l g q m f z	lgqmfz
g l d b j h r	gldbjhr
v x c h l d	vxchld
h x w n r g d b s q f	hxwnrgdbsqf
f w z k v h t	fwzkvht
j f p m	jfpm
l p t	lpt
n r m w b g	nrmwbg
p l n w	plnw
r n v d c k q t z s l	rnvdckqtzsl
p v x q f d g h	pvxqfdgh
q t h j f	qthjf
x h k v p n b j z	xhkvpnbjz
g w j r l s q d b k v p	gwjrlsqdbkvp
q d l	qdl
v b n f q d z	vbnfqdz
x n p l d s	xnplds
b k d x s	bkdxs
m w d h k t	mwdhkt
x h z	xhz
k m t r b w p	kmtrbwp
w v j d p s n	wvjdpsn
b l p h g c	blphgc
c g w b	cgwb
k w g f n h z	kwgfnhz
l t n j q s z b	ltnjqszb
c l t k	cltk
f z k w h s	fzkwhs
m b p h z l	mbphzl
x j v k c	xjvkc
s v c r t x w j	svcrtxwj
k x p v h c	kxpvhc
v r w c d t l b j	vrwcdtlbj
l s n p t h	lsnpth
p r h x	prhx
c x t l z	cxtlz
x p z h v	xpzhv
v s l t n z p h d b k j x	vsltnzphdbkjx
w n j k r	wnjkr
s j n g f	sjngf
f j g b r	fjgbr
b d j z w p t m l	bdjzwptml
f t p k j	ftpkj
l b t f n m z h g j	lbtfnmzhgj
h m t p x j v	hmtpxjv
z h c g j s t	zhcgjst
m z v r h t s	mzvrhts
x k r w z s t	xkrwzst
l p r n q	lprnq
x f j d	xfjd
j d f w	jdfw
q f p x w g	qfpxwg
g t f h l w v p	gtfhlwvp
g x t f n w j m	gxtfnwjm
d r l f m k	drlfmk
d n g	dng
l c t h q	lcthq
n p v r k z	npvrkz
h r w l z s p c	hrwlzspc
n l s	nls
c w j z n s g b d l t	cwjznsgbdlt
s b z c k m	sbzckm
c p f m q r j	cpfmqrj
z v p m w d	zvpmwd
x m r d t k w j f z	xmrdtkwjfz
p w h x	pwhx
d x c t g f j	dxctgfj
f t r n m w c	ftrnmwc
s z l v m w g h j	szlvmwghj
s f c v k t b q j z	sfcvktbqjz
b d f n	bdfn
h k q n	hkqn
l v c	lvc
x m w b z	xmwbz
w h f t l k g p q d	whftlkgpqd
m b v n	mbvn
b g x v n j p	bgxvnjp
x s l	xsl
k s p n	kspn
h q b l p x j z m w g k	hqblpxjzmwgk
h g d b s l q	hgdbslq
g c f m	gcfm
f t l k p r j	ftlkprj
l h m k t z d	lhmktzd
h b l z f	hblzf
k v s f d p c g x j h	kvsfdpcgxjh
l b r c j m	lbrcjm
n b d	nbd
v b p c m q l	vbpcmql
q c x s b m g w	qcxsbmgw
d j l k v	djlkv
k d x g r b z	kdxgrbz
g x p b q c f j	gxpbqcfj
m r x n k b s	mrxnkbs
n b k p z l x	nbkpzlx
d s l f	dslf
c b q v z	cbqvz
r v t	rvt
j p w f b	jpwfb
w p b n x k f	wpbnxkf
g f j d	gfjd
c x j g b l f r n	cxjgblfrn
n g p b c l m	ngpbclm
n z g s d m w	nzgsdmw
g x z d j t	gxzdjt
q k d s	qkds
l f d z t w s n	lfdztwsn
g p f	gpf
l j h p b q	ljhpbq
c d b w r q j m p z	cdbwrqjmpz
n z k	nzk
t q d k h x j m p	tqdkhxjmp
w j f d h g k l m x r	wjfdhgklmxr
h w x f q	hwxfq
h z x v	hzxv
q k r v l h b x m p	qkrvlhbxmp
f m h v t l p r	fmhvtlpr
m f p d q b	mfpdqb
r j s c t k w f z n h q m v	rjsctkwfznhqmv
j h g	jhg
l c s r	lcsr
j n b l	jnbl
k m f l w x t	kmflwxt
r z d	rzd
m k w z b h x r j	mkwzbhxrj
s b h z d t f p j l	sbhzdtfpjl
m d c	mdc
l v n p r h b w z	lvnprhbwz
w b v h	wbvh
r t s m	rtsm
n s r g	nsrg
n p f h q l g c	npfhqlgc
l c k g h m j w p d	lckghmjwpd
l t n v d m h r k b	ltnvdmhrkb
t c r d l p	tcrdlp
n k b m x l s	nkbmxls
s p r n m g b d	sprnmgbd
x l b k d r m z	xlbkdrmz
c f z d x r q	cfzdxrq
t l m x n	tlmxn
d g p m x	dgpmx
h c s r d t n	hcsrdtn
t x f q d p c	txfqdpc
c p l v w x s	cplvwxs
w j b n t x q	wjbntxq
n q z r c f j m	nqzrcfjm
n w s m z	nwsmz
c p w s l f z	cpwslfz
q t f x z j d v n c	qtfxzjdvnc
v b g r x t w z h	vbgrxtwzh
v l n w c x m	vlnwcxm
d s h m r f c w k b	dshmrfcwkb
t f s j	tfsj
t v l b r h m f j q	tvlbrhmfjq
h f r p k z b j	hfrpkzbj
c x g z w	cxgzw
g r b j c	grbjc
f t w j c k	ftwjck
q w f n z c r d j	qwfnzcrdj
t w g h m k z f	twghmkzf
j s z k b h	jszkbh
h b n w k c t v r	hbnwkctvr
b s m n	bsmn
d f q t p z l	dfqtpzl
w c s	wcs
b t k l g	btklg
k v c f n	kvcfn
l j v t w n g k x c r	ljvtwngkxcr
q g v m z r x l	qgvmzrxl
s r q p h	srqph
t n q l x	tnqlx
t n c k v m	tnckvm
q x c p h j l	qxcphjl
d z f p r v c	dzfprvc
r g k q l v f	rgkqlvf
q k r	qkr
n v m h p d	nvmhpd
k m g h x j z q	kmghxjzq
w b s n h t g l p r	wbsnhtglpr
b m c d x w l	bmcdxwl
j q c h m x f	jqchmxf
l w s v k	lwsvk
b p l	bpl
z m g	zmg
l r h d b c	lrhdbc
c h v w f q d	chvwfqd
v m t r q k	vmtrqk
r z m	rzm
m f j s c t x z p n l b	mfjsctxzpnlb
n t v l f p k b g	ntvlfpkbg
q n g m t x	qngmtx
f p v q d	fpvqd
f k m t r	fkmtr
t k v p r f	tkvprf
l s k w h	lskwh
f h n w v q d g x	fhnwvqdgx
k m n l j v w	kmnljvw
l r v x	lrvx
h r x d	hrxd
r m v z	rmvz
j d l m k c z	jdlmkcz
n c s x	ncsx
p f r	pfr
l m c s f z n h g q	lmcsfznhgq
g s m b k v d	gsmbkvd
v x f p l z q	vxfplzq
x r p f w v k	xrpfwvk
q s w g k f	qswgkf
v r z k n l f	vrzknlf
g k h l	gkhl
g n h f j	gnhfj
n l v g z	nlvgz
j k w l	jkwl
z w m v p	zwmvp
b h v s m	bhvsm
g s f m p r z n	gsfmprzn
x d z r l p b t q f j	xdzrlpbtqfj
w t m s b j q f	wtmsbjqf
h n d l r c s	hndlrcs
b p d g	bpdg
b f q l z	bfqlz
z t w d s l	ztwdsl
h q k t p b	hqktpb
t v h d j x z c	tvhdjxzc
p s n v w t	psnvwt
b f k h q z m	bfkhqzm
w t b x	wtbx
h b m s w f q j p d k	hbmswfqjpdk
x c v m r p n l	xcvmrpnl
t c p g n s	tcpgns
d j z q l	djzql
r d b g h n v	rdbghnv
l g v z k t m x d c	lgvzktmxdc
q j l f t r c k	qjlftrck
q c b t h w d l j f p m g	qcbthwdljfpmg
j g d k z w h	jgdkzwh
s t b r n k h	stbrnkh
j p n z h f	jpnzhf
c d l r g	cdlrg
z x w m b	zxwmb
v r p q g j z f	vrpqgjzf
b k d w q r	bkdwqr
c s v j b d	csvjbd
b p f h c w	bpfhcw
m w v h c j	mwvhcj
n b z q	nbzq
f m r d g v	fmrdgv
x j h s q f w	xjhsqfw
p f b t n k j	pfbtnkj
b r l h f p	brlhfp
c x t w n s j	cxtwnsj
z j p x f h	zjpxfh
m j b f d k s p c w	mjbfdkspcw
s q z x g	sqzxg
s n w k	snwk
k w q s v m x r f d	kwqsvmxrfd
l z k q	lzkq
l d t h	ldth
f j g m q v n c p d h	fjgmqvncpdh
k n g h l c v z	knghlcvz
t n w x b h s c q	tnwxbhscq
t w b n k c z f	twbnkczf
p b x h s n l	pbxhsnl
h x m b t j	hxmbtj
s z x k w t	szxkwt
w b s x k v l h n t	wbsxkvlhnt
g d x v j q	gdxvjq
q g m r z w t s k	qgmrzwtsk
p m t w n b d x l f	pmtwnbdxlf
v n k x b	vnkxb
d n j b t f s v	dnjbtfsv
q d n w k v x	qdnwkvx
s l c r g p z q b	slcrgpzqb
p g q d	pgqd
m d n h t b v p k r z	mdnhtbvpkrz
t s g r	tsgr
b h t r j k c n d z q l w	bhtrjkcndzqlw
d j m g q l n	djmgqln
x s v j m w	xsvjmw
m r h x p f b n l k	mrhxpfbnlk
h d k q l	hdkql
t n v	tnv
t x j f n r m g	txjfnrmg
m z c q p h d l w	mzcqphdlw
n r h c g z f	nrhcgzf
s c m v f t q	scmvftq
f b x r s g p z q	fbxrsgpzq
s k x d l z f r n t	skxdlzfrnt
x z w r s b m t q	xzwrsbmtq
x s k	xsk
v q l r m	vqlrm
x w l n r b d	xwlnrbd
w k m p l c d h	wkmplcdh
k f x r p z s	kfxrpzs
l z v	lzv
k z p f	kzpf
c s r l	csrl
s q h l m x g z w n c b	sqhlmxgzwncb
s w r c z f q	swrczfq
t h c x s z	thcxsz
f r t	frt
c x p s z m k j	cxpszmkj
d f x	dfx
b s g p x	bsgpx
v f w s t x m b	vfwstxmb
w n b s j	wnbsj
l q w j r p	lqwjrp
n g c f	ngcf
w m b x	wmbx
h z s x m p	hzsxmp
k b c l	kbcl
x z s l n m j v r g	xzslnmjvrg
k w x h	kwxh
p k t f m q	pktfmq
s t n b v d j c	stnbvdjc
j p v	jpv
d f l k	dflk
w t p s v h z	wtpsvhz
m c p w b l z	mcpwblz
x r b h k v t d l q	xrbhkvtdlq
k q r m w x n p	kqrmwxnp
n c g r w x m	ncgrwxm
d h q x	dhqx
r c s j f l p t k g x v	rcsjflptkgxv
z q d v p c m	zqdvpcm
p m g j t	pmgjt
z q c j d s t w	zqcjdstw
n r h c t	nrhct
p v n	pvn
b h m	bhm
v x z n c d j g t	vxzncdjgt
g p b c v	gpbcv
t n d v j r s x	tndvjrsx
t j c k z s	tjckzs
p l w j s	plwjs
z p r m t b	zprmtb
m d r	mdr
l r m q f s t j	lrmqfstj
q p b n v m h t	qpbnvmht
w x g l c j h m s p	wxglcjhmsp
v q x k	vqxk
k g q b l n c j r x	kgqblncjrx
m x t f b g j p k c r n d	mxtfbgjpkcrnd
j r g f c n q t	jrgfcnqt
n w p q v	nwpqv
w s k x l b d	wskxlbd
n g p d q l	ngpdql
z k c d x	zkcdx
n l j b d t	nljbdt
c x s	cxs
n l k b h x d	nlkbhxd
c t d b k p r	ctdbkpr
c l s w f	clswf
g k v x r l b c n	gkvxrlbcn
n c x f j d h	ncxfjdh
c h x z j d w	chxzjdw
n m q g x	nmqgx
w n g t l s j	wngtlsj
h w c d x b r t j	hwcdxbrtj
p v x l f w n z b	pvxlfwnzb
w v g s	wvgs
l m h b	lmhb
j c b p m	jcbpm
w z s v r	wzsvr
z g j n q p	zgjnqp
w b x r s k t j h p	wbxrsktjhp
r w m	rwm
s k x c b z h	skxcbzh
n j k p m b r	njkpmbr
g d s f z p n	gdsfzpn
l x d p r t c g	lxdprtcg
j p q w c n l r	jpqwcnlr
z t c v x	ztcvx
l f z g b j k	lfzgbjk
p w q x k b c r g n	pwqxkbcrgn
c l h z b x p	clhzbxp
b w f g h	bwfgh
d h c s	dhcs
q b r p	qbrp
q p d w s c v x	qpdwscvx
z j l v q m b t s f	zjlvqmbtsf
x q b l d t	xqbldt
d j n m	djnm
x w c h l d b n	xwchldbn
d w m b z c	dwmbzc
c l d r	cldr
x q n h r g	xqnhrg
f k j g m r h	fkjgmrh
g p b n f h k	gpbnfhk
b m l	bml
s n q r w t h g x	snqrwthgx
s k z g w b	skzgwb
x k r v b f t g	xkrvbftg
q v b	qvb
f w s k l	fwskl
d p b	dpb
m r t h x z b v f	mrthxzbvf
l q b j f r	lqbjfr
m q z l p f v	mqzlpfv
k t j w h b	ktjwhb
c m h j t n b d f	cmhjtnbdf
s j w p	sjwp
d v f l m s n	dvflmsn
h z q j m	hzqjm
v n p k d j w g	vnpkdjwg
t h r c n b m	thrcnbm
j h l z t	jhlzt
x f p h k s b	xfphksb
l k g b w q s	lkgbwqs
w p j s t d f n c	wpjstdfnc
c z b s v r	czbsvr
r z l j g p t d	rzljgptd
l s p f	lspf
r h n j w x z q	rhnjwxzq
z n j x	znjx
m h f r	mhfr
t r k q n g h c	trkqnghc
b w f d s z t	bwfdszt
r m w x v s t d q	rmwxvstdq
f b g c p w n x v m h	fbgcpwnxvmh
d r p v	drpv
x b m s t w h p z	xbmstwhpz
g w z p n c	gwzpnc
j p r h b	jprhb
q x p d	qxpd
b q d h k f j	bqdhkfj
