input1	label
v i r g i n i a	virginia
a l m o s t	almost
t o o k	took
l o c a t e d	located
m u l t i p l e	multiple
a s i a n	asian
d i s t r i b u t i o n	distribution
e d i t o r	editor
i n n	inn
i n d u s t r i a l	industrial
c a u s e	cause
p o t e n t i a l	potential
s o n g	song
c n e t	cnet
l t d	ltd
l o s	los
f o c u s	focus
l a t e	late
f a l l	fall
f e a t u r e d	featured
i d e a	idea
r o o m s	rooms
f e m a l e	female
r e s p o n s i b l e	responsible
i n c	inc
c o m m u n i c a t i o n s	communications
w i n	win
a s s o c i a t e d	associated
t h o m a s	thomas
p r i m a r y	primary
c a n c e r	cancer
n u m b e r s	numbers
r e a s o n	reason
t o o l	tool
b r o w s e r	browser
s p r i n g	spring
f o u n d a t i o n	foundation
a n s w e r	answer
v o i c e	voice
f r i e n d l y	friendly
s c h e d u l e	schedule
d o c u m e n t s	documents
c o m m u n i c a t i o n	communication
p u r p o s e	purpose
f e a t u r e	feature
b e d	bed
c o m e s	comes
p o l i c e	police
e v e r y o n e	everyone
i n d e p e n d e n t	independent
a p p r o a c h	approach
c a m e r a s	cameras
b r o w n	brown
p h y s i c a l	physical
o p e r a t i n g	operating
h i l l	hill
m a p s	maps
m e d i c i n e	medicine
d e a l	deal
h o l d	hold
r a t i n g s	ratings
c h i c a g o	chicago
f o r m s	forms
g l a s s	glass
h a p p y	happy
t u e	tue
s m i t h	smith
w a n t e d	wanted
d e v e l o p e d	developed
t h a n k	thank
s a f e	safe
u n i q u e	unique
s u r v e y	survey
p r i o r	prior
t e l e p h o n e	telephone
s p o r t	sport
r e a d y	ready
f e e d	feed
a n i m a l	animal
s o u r c e s	sources
m e x i c o	mexico
p o p u l a t i o n	population
r e g u l a r	regular
s e c u r e	secure
n a v i g a t i o n	navigation
o p e r a t i o n s	operations
t h e r e f o r e	therefore
a s s	ass
s i m p l y	simply
e v i d e n c e	evidence
s t a t i o n	station
c h r i s t i a n	christian
r o u n d	round
p a y p a l	paypal
f a v o r i t e	favorite
u n d e r s t a n d	understand
o p t i o n	option
m a s t e r	master
v a l l e y	valley
r e c e n t l y	recently
p r o b a b l y	probably
t h u	thu
r e n t a l s	rentals
s e a	sea
b u i l t	built
p u b l i c a t i o n s	publications
b l o o d	blood
c u t	cut
w o r l d w i d e	worldwide
i m p r o v e	improve
c o n n e c t i o n	connection
p u b l i s h e r	publisher
h a l l	hall
l a r g e r	larger
a n t i	anti
n e t w o r k s	networks
e a r t h	earth
p a r e n t s	parents
n o k i a	nokia
i m p a c t	impact
t r a n s f e r	transfer
i n t r o d u c t i o n	introduction
k i t c h e n	kitchen
s t r o n g	strong
t e l	tel
c a r o l i n a	carolina
w e d d i n g	wedding
p r o p e r t i e s	properties
h o s p i t a l	hospital
g r o u n d	ground
o v e r v i e w	overview
s h i p	ship
a c c o m m o d a t i o n	accommodation
o w n e r s	owners
d i s e a s e	disease
e x c e l l e n t	excellent
p a i d	paid
i t a l y	italy
p e r f e c t	perfect
h a i r	hair
o p p o r t u n i t y	opportunity
k i t	kit
c l a s s i c	classic
b a s i s	basis
c o m m a n d	command
c i t i e s	cities
w i l l i a m	william
e x p r e s s	express
a n a l	anal
a w a r d	award
d i s t a n c e	distance
t r e e	tree
p e t e r	peter
a s s e s s m e n t	assessment
e n s u r e	ensure
t h u s	thus
w a l l	wall
i n v o l v e d	involved
e x t r a	extra
e s p e c i a l l y	especially
i n t e r f a c e	interface
p u s s y	pussy
p a r t n e r s	partners
b u d g e t	budget
r a t e d	rated
g u i d e s	guides
s u c c e s s	success
m a x i m u m	maximum
o p e r a t i o n	operation
e x i s t i n g	existing
q u i t e	quite
s e l e c t e d	selected
b o y	boy
a m a z o n	amazon
p a t i e n t s	patients
r e s t a u r a n t s	restaurants
b e a u t i f u l	beautiful
w a r n i n g	warning
w i n e	wine
l o c a t i o n s	locations
h o r s e	horse
v o t e	vote
f o r w a r d	forward
f l o w e r s	flowers
s t a r s	stars
s i g n i f i c a n t	significant
l i s t s	lists
t e c h n o l o g i e s	technologies
o w n e r	owner
r e t a i l	retail
a n i m a l s	animals
u s e f u l	useful
d i r e c t l y	directly
m a n u f a c t u r e r	manufacturer
w a y s	ways
e s t	est
s o n	son
p r o v i d i n g	providing
r u l e	rule
m a c	mac
h o u s i n g	housing
t a k e s	takes
i i i	iii
g m t	gmt
b r i n g	bring
c a t a l o g	catalog
s e a r c h e s	searches
m a x	max
t r y i n g	trying
m o t h e r	mother
a u t h o r i t y	authority
c o n s i d e r e d	considered
t o l d	told
x m l	xml
t r a f f i c	traffic
p r o g r a m m e	programme
j o i n e d	joined
i n p u t	input
s t r a t e g y	strategy
f e e t	feet
a g e n t	agent
v a l i d	valid
b i n	bin
m o d e r n	modern
s e n i o r	senior
i r e l a n d	ireland
s e x y	sexy
t e a c h i n g	teaching
d o o r	door
g r a n d	grand
t e s t i n g	testing
t r i a l	trial
c h a r g e	charge
u n i t s	units
i n s t e a d	instead
c a n a d i a n	canadian
c o o l	cool
n o r m a l	normal
w r o t e	wrote
e n t e r p r i s e	enterprise
s h i p s	ships
e n t i r e	entire
e d u c a t i o n a l	educational
l e a d i n g	leading
m e t a l	metal
p o s i t i v e	positive
f i t n e s s	fitness
c h i n e s e	chinese
o p i n i o n	opinion
a s i a	asia
f o o t b a l l	football
a b s t r a c t	abstract
u s e s	uses
o u t p u t	output
f u n d s	funds
g r e a t e r	greater
l i k e l y	likely
d e v e l o p	develop
e m p l o y e e s	employees
a r t i s t s	artists
a l t e r n a t i v e	alternative
p r o c e s s i n g	processing
r e s p o n s i b i l i t y	responsibility
r e s o l u t i o n	resolution
j a v a	java
g u e s t	guest
s e e m s	seems
p u b l i c a t i o n	publication
p a s s	pass
r e l a t i o n s	relations
t r u s t	trust
v a n	van
c o n t a i n s	contains
s e s s i o n	session
m u l t i	multi
p h o t o g r a p h y	photography
r e p u b l i c	republic
f e e s	fees
c o m p o n e n t s	components
v a c a t i o n	vacation
c e n t u r y	century
a c a d e m i c	academic
a s s i s t a n c e	assistance
c o m p l e t e d	completed
s k i n	skin
g r a p h i c s	graphics
i n d i a n	indian
p r e v	prev
a d s	ads
m a r y	mary
e x p e c t e d	expected
r i n g	ring
g r a d e	grade
d a t i n g	dating
p a c i f i c	pacific
m o u n t a i n	mountain
o r g a n i z a t i o n s	organizations
p o p	pop
f i l t e r	filter
m a i l i n g	mailing
v e h i c l e	vehicle
l o n g e r	longer
c o n s i d e r	consider
i n t	int
n o r t h e r n	northern
b e h i n d	behind
p a n e l	panel
f l o o r	floor
g e r m a n	german
b u y i n g	buying
m a t c h	match
p r o p o s e d	proposed
d e f a u l t	default
r e q u i r e	require
i r a q	iraq
b o y s	boys
o u t d o o r	outdoor
d e e p	deep
m o r n i n g	morning
o t h e r w i s e	otherwise
a l l o w s	allows
r e s t	rest
p r o t e i n	protein
p l a n t	plant
r e p o r t e d	reported
h i t	hit
t r a n s p o r t a t i o n	transportation
p o o l	pool
m i n i	mini
p o l i t i c s	politics
p a r t n e r	partner
d i s c l a i m e r	disclaimer
a u t h o r s	authors
b o a r d s	boards
f a c u l t y	faculty
p a r t i e s	parties
f i s h	fish
m e m b e r s h i p	membership
m i s s i o n	mission
e y e	eye
s t r i n g	string
s e n s e	sense
m o d i f i e d	modified
p a c k	pack
r e l e a s e d	released
s t a g e	stage
i n t e r n a l	internal
g o o d s	goods
r e c o m m e n d e d	recommended
b o r n	born
u n l e s s	unless
r i c h a r d	richard
d e t a i l e d	detailed
j a p a n e s e	japanese
r a c e	race
a p p r o v e d	approved
b a c k g r o u n d	background
t a r g e t	target
e x c e p t	except
c h a r a c t e r	character
u s b	usb
m a i n t e n a n c e	maintenance
a b i l i t y	ability
m a y b e	maybe
f u n c t i o n s	functions
m o v i n g	moving
b r a n d s	brands
p l a c e s	places
p h p	php
p r e t t y	pretty
t r a d e m a r k s	trademarks
p h e n t e r m i n e	phentermine
s p a i n	spain
s o u t h e r n	southern
y o u r s e l f	yourself
e t c	etc
w i n t e r	winter
r a p e	rape
b a t t e r y	battery
y o u t h	youth
p r e s s u r e	pressure
s u b m i t t e d	submitted
b o s t o n	boston
i n c e s t	incest
d e b t	debt
k e y w o r d s	keywords
m e d i u m	medium
t e l e v i s i o n	television
i n t e r e s t e d	interested
c o r e	core
b r e a k	break
p u r p o s e s	purposes
t h r o u g h o u t	throughout
s e t s	sets
d a n c e	dance
w o o d	wood
m s n	msn
i t s e l f	itself
d e f i n e d	defined
p a p e r s	papers
p l a y i n g	playing
a w a r d s	awards
f e e	fee
s t u d i o	studio
r e a d e r	reader
v i r t u a l	virtual
d e v i c e	device
e s t a b l i s h e d	established
a n s w e r s	answers
r e n t	rent
l a s	las
r e m o t e	remote
d a r k	dark
p r o g r a m m i n g	programming
e x t e r n a l	external
a p p l e	apple
r e g a r d i n g	regarding
i n s t r u c t i o n s	instructions
m i n	min
o f f e r e d	offered
t h e o r y	theory
e n j o y	enjoy
r e m o v e	remove
a i d	aid
s u r f a c e	surface
m i n i m u m	minimum
v i s u a l	visual
h o s t	host
v a r i e t y	variety
t e a c h e r s	teachers
i s b n	isbn
m a r t i n	martin
m a n u a l	manual
b l o c k	block
s u b j e c t s	subjects
a g e n t s	agents
i n c r e a s e d	increased
r e p a i r	repair
f a i r	fair
c i v i l	civil
s t e e l	steel
u n d e r s t a n d i n g	understanding
s o n g s	songs
f i x e d	fixed
w r o n g	wrong
b e g i n n i n g	beginning
h a n d s	hands
a s s o c i a t e s	associates
f i n a l l y	finally
u p d a t e s	updates
d e s k t o p	desktop
c l a s s e s	classes
p a r i s	paris
o h i o	ohio
g e t s	gets
s e c t o r	sector
c a p a c i t y	capacity
r e q u i r e s	requires
j e r s e y	jersey
f a t	fat
f u l l y	fully
f a t h e r	father
e l e c t r i c	electric
s a w	saw
i n s t r u m e n t s	instruments
q u o t e s	quotes
o f f i c e r	officer
d r i v e r	driver
b u s i n e s s e s	businesses
d e a d	dead
r e s p e c t	respect
u n k n o w n	unknown
s p e c i f i e d	specified
r e s t a u r a n t	restaurant
m i k e	mike
t r i p	trip
p s t	pst
w o r t h	worth
p r o c e d u r e s	procedures
p o o r	poor
t e a c h e r	teacher
x x x	xxx
e y e s	eyes
r e l a t i o n s h i p	relationship
w o r k e r s	workers
f a r m	farm
f u c k i n g	fucking
g e o r g i a	georgia
p e a c e	peace
t r a d i t i o n a l	traditional
c a m p u s	campus
t o m	tom
s h o w i n g	showing
c r e a t i v e	creative
c o a s t	coast
b e n e f i t	benefit
p r o g r e s s	progress
f u n d i n g	funding
d e v i c e s	devices
l o r d	lord
g r a n t	grant
s u b	sub
a g r e e	agree
f i c t i o n	fiction
h e a r	hear
s o m e t i m e s	sometimes
w a t c h e s	watches
c a r e e r s	careers
b e y o n d	beyond
g o e s	goes
f a m i l i e s	families
l e d	led
m u s e u m	museum
t h e m s e l v e s	themselves
f a n	fan
t r a n s p o r t	transport
i n t e r e s t i n g	interesting
b l o g s	blogs
w i f e	wife
e v a l u a t i o n	evaluation
a c c e p t e d	accepted
f o r m e r	former
i m p l e m e n t a t i o n	implementation
t e n	ten
h i t s	hits
z o n e	zone
c o m p l e x	complex
c a t	cat
g a l l e r i e s	galleries
r e f e r e n c e s	references
d i e	die
p r e s e n t e d	presented
j a c k	jack
f l a t	flat
f l o w	flow
a g e n c i e s	agencies
l i t e r a t u r e	literature
r e s p e c t i v e	respective
p a r e n t	parent
s p a n i s h	spanish
m i c h i g a n	michigan
c o l u m b i a	columbia
s e t t i n g	setting
s c a l e	scale
s t a n d	stand
e c o n o m y	economy
h i g h e s t	highest
h e l p f u l	helpful
m o n t h l y	monthly
c r i t i c a l	critical
f r a m e	frame
m u s i c a l	musical
d e f i n i t i o n	definition
s e c r e t a r y	secretary
a n g e l e s	angeles
n e t w o r k i n g	networking
p a t h	path
a u s t r a l i a n	australian
e m p l o y e e	employee
c h i e f	chief
g i v e s	gives
b o t t o m	bottom
m a g a z i n e s	magazines
p a c k a g e s	packages
d e t a i l	detail
f r a n c i s c o	francisco
l a w s	laws
c h a n g e d	changed
p e t	pet
h e a r d	heard
b e g i n	begin
i n d i v i d u a l s	individuals
c o l o r a d o	colorado
r o y a l	royal
c l e a n	clean
s w i t c h	switch
r u s s i a n	russian
l a r g e s t	largest
a f r i c a n	african
g u y	guy
t i t l e s	titles
r e l e v a n t	relevant
g u i d e l i n e s	guidelines
j u s t i c e	justice
c o n n e c t	connect
b i b l e	bible
d e v	dev
c u p	cup
b a s k e t	basket
a p p l i e d	applied
w e e k l y	weekly
v o l	vol
i n s t a l l a t i o n	installation
d e s c r i b e d	described
d e m a n d	demand
s u i t e	suite
v e g a s	vegas
s q u a r e	square
c h r i s	chris
a t t e n t i o n	attention
a d v a n c e	advance
s k i p	skip
d i e t	diet
a r m y	army
a u c t i o n	auction
g e a r	gear
l e e	lee
d i f f e r e n c e	difference
a l l o w e d	allowed
c o r r e c t	correct
c h a r l e s	charles
n a t i o n	nation
s e l l i n g	selling
l o t s	lots
p i e c e	piece
s h e e t	sheet
f i r m	firm
s e v e n	seven
o l d e r	older
i l l i n o i s	illinois
r e g u l a t i o n s	regulations
e l e m e n t s	elements
s p e c i e s	species
j u m p	jump
c e l l s	cells
m o d u l e	module
r e s o r t	resort
f a c i l i t y	facility
r a n d o m	random
p r i c i n g	pricing
d v d s	dvds
c e r t i f i c a t e	certificate
m i n i s t e r	minister
m o t i o n	motion
l o o k s	looks
f a s h i o n	fashion
d i r e c t i o n s	directions
v i s i t o r s	visitors
d o c u m e n t a t i o n	documentation
m o n i t o r	monitor
t r a d i n g	trading
f o r e s t	forest
c a l l s	calls
w h o s e	whose
c o v e r a g e	coverage
c o u p l e	couple
g i v i n g	giving
c h a n c e	chance
v i s i o n	vision
b a l l	ball
e n d i n g	ending
c l i e n t s	clients
a c t i o n s	actions
l i s t e n	listen
d i s c u s s	discuss
a c c e p t	accept
a u t o m o t i v e	automotive
n a k e d	naked
g o a l	goal
s u c c e s s f u l	successful
s o l d	sold
w i n d	wind
c o m m u n i t i e s	communities
c l i n i c a l	clinical
s i t u a t i o n	situation
s c i e n c e s	sciences
m a r k e t s	markets
l o w e s t	lowest
h i g h l y	highly
p u b l i s h i n g	publishing
a p p e a r	appear
e m e r g e n c y	emergency
d e v e l o p i n g	developing
l i v e s	lives
c u r r e n c y	currency
l e a t h e r	leather
d e t e r m i n e	determine
m i l f	milf
t e m p e r a t u r e	temperature
p a l m	palm
a n n o u n c e m e n t s	announcements
p a t i e n t	patient
a c t u a l	actual
h i s t o r i c a l	historical
s t o n e	stone
b o b	bob
c o m m e r c e	commerce
r i n g t o n e s	ringtones
p e r h a p s	perhaps
p e r s o n s	persons
d i f f i c u l t	difficult
s c i e n t i f i c	scientific
s a t e l l i t e	satellite
f i t	fit
t e s t s	tests
v i l l a g e	village
a c c o u n t s	accounts
a m a t e u r	amateur
m e t	met
p a i n	pain
x b o x	xbox
p a r t i c u l a r l y	particularly
f a c t o r s	factors
c o f f e e	coffee
w w w	www
s e t t i n g s	settings
c u m	cum
b u y e r	buyer
c u l t u r a l	cultural
s t e v e	steve
e a s i l y	easily
o r a l	oral
f o r d	ford
p o s t e r	poster
e d g e	edge
f u n c t i o n a l	functional
r o o t	root
c l o s e d	closed
h o l i d a y s	holidays
i c e	ice
p i n k	pink
z e a l a n d	zealand
b a l a n c e	balance
m o n i t o r i n g	monitoring
g r a d u a t e	graduate
r e p l i e s	replies
s h o t	shot
a r c h i t e c t u r e	architecture
i n i t i a l	initial
l a b e l	label
t h i n k i n g	thinking
s c o t t	scott
l l c	llc
s e c	sec
r e c o m m e n d	recommend
c a n o n	canon
h a r d c o r e	hardcore
l e a g u e	league
w a s t e	waste
m i n u t e	minute
b u s	bus
p r o v i d e r	provider
o p t i o n a l	optional
d i c t i o n a r y	dictionary
c o l d	cold
a c c o u n t i n g	accounting
m a n u f a c t u r i n g	manufacturing
s e c t i o n s	sections
c h a i r	chair
f i s h i n g	fishing
e f f o r t	effort
p h a s e	phase
f i e l d s	fields
b a g	bag
f a n t a s y	fantasy
l e t t e r s	letters
m o t o r	motor
p r o f e s s o r	professor
c o n t e x t	context
i n s t a l l	install
s h i r t	shirt
a p p a r e l	apparel
g e n e r a l l y	generally
c o n t i n u e d	continued
f o o t	foot
m a s s	mass
c r i m e	crime
c o u n t	count
b r e a s t	breast
t e c h n i q u e s	techniques
i b m	ibm
j o h n s o n	johnson
q u i c k l y	quickly
d o l l a r s	dollars
w e b s i t e s	websites
r e l i g i o n	religion
c l a i m	claim
d r i v i n g	driving
p e r m i s s i o n	permission
s u r g e r y	surgery
p a t c h	patch
h e a t	heat
w i l d	wild
m e a s u r e s	measures
g e n e r a t i o n	generation
k a n s a s	kansas
m i s s	miss
c h e m i c a l	chemical
d o c t o r	doctor
t a s k	task
r e d u c e	reduce
b r o u g h t	brought
h i m s e l f	himself
n o r	nor
c o m p o n e n t	component
e n a b l e	enable
e x e r c i s e	exercise
b u g	bug
s a n t a	santa
m i d	mid
g u a r a n t e e	guarantee
l e a d e r	leader
d i a m o n d	diamond
i s r a e l	israel
p r o c e s s e s	processes
s o f t	soft
s e r v e r s	servers
a l o n e	alone
m e e t i n g s	meetings
s e c o n d s	seconds
j o n e s	jones
a r i z o n a	arizona
k e y w o r d	keyword
i n t e r e s t s	interests
f l i g h t	flight
c o n g r e s s	congress
f u e l	fuel
u s e r n a m e	username
w a l k	walk
f u c k	fuck
p r o d u c e d	produced
i t a l i a n	italian
p a p e r b a c k	paperback
c l a s s i f i e d s	classifieds
w a i t	wait
s u p p o r t e d	supported
p o c k e t	pocket
s a i n t	saint
r o s e	rose
f r e e d o m	freedom
a r g u m e n t	argument
c o m p e t i t i o n	competition
c r e a t i n g	creating
j i m	jim
d r u g s	drugs
j o i n t	joint
p r e m i u m	premium
p r o v i d e r s	providers
f r e s h	fresh
c h a r a c t e r s	characters
a t t o r n e y	attorney
u p g r a d e	upgrade
f a c t o r	factor
g r o w i n g	growing
t h o u s a n d s	thousands
s t r e a m	stream
a p a r t m e n t s	apartments
p i c k	pick
h e a r i n g	hearing
e a s t e r n	eastern
a u c t i o n s	auctions
t h e r a p y	therapy
e n t r i e s	entries
d a t e s	dates
g e n e r a t e d	generated
s i g n e d	signed
u p p e r	upper
a d m i n i s t r a t i v e	administrative
s e r i o u s	serious
p r i m e	prime
s a m s u n g	samsung
l i m i t	limit
b e g a n	began
l o u i s	louis
s t e p s	steps
e r r o r s	errors
s h o p s	shops
b o n d a g e	bondage
d e l	del
e f f o r t s	efforts
i n f o r m e d	informed
t h o u g h t s	thoughts
c r e e k	creek
w o r k e d	worked
q u a n t i t y	quantity
u r b a n	urban
p r a c t i c e s	practices
s o r t e d	sorted
r e p o r t i n g	reporting
e s s e n t i a l	essential
m y s e l f	myself
t o u r s	tours
p l a t f o r m	platform
l o a d	load
a f f i l i a t e	affiliate
l a b o r	labor
i m m e d i a t e l y	immediately
a d m i n	admin
n u r s i n g	nursing
d e f e n s e	defense
m a c h i n e s	machines
d e s i g n a t e d	designated
t a g s	tags
h e a v y	heavy
c o v e r e d	covered
r e c o v e r y	recovery
j o e	joe
g u y s	guys
i n t e g r a t e d	integrated
c o n f i g u r a t i o n	configuration
c o c k	cock
m e r c h a n t	merchant
c o m p r e h e n s i v e	comprehensive
e x p e r t	expert
u n i v e r s a l	universal
p r o t e c t	protect
d r o p	drop
s o l i d	solid
c d s	cds
p r e s e n t a t i o n	presentation
l a n g u a g e s	languages
b e c a m e	became
o r a n g e	orange
c o m p l i a n c e	compliance
v e h i c l e s	vehicles
p r e v e n t	prevent
t h e m e	theme
r i c h	rich
c a m p a i g n	campaign
m a r i n e	marine
i m p r o v e m e n t	improvement
g u i t a r	guitar
f i n d i n g	finding
p e n n s y l v a n i a	pennsylvania
e x a m p l e s	examples
i p o d	ipod
s a y i n g	saying
s p i r i t	spirit
c l a i m s	claims
p o r n o	porno
c h a l l e n g e	challenge
m o t o r o l a	motorola
a c c e p t a n c e	acceptance
s t r a t e g i e s	strategies
s e e m	seem
a f f a i r s	affairs
t o u c h	touch
i n t e n d e d	intended
t o w a r d s	towards
g o a l s	goals
h i r e	hire
e l e c t i o n	election
s u g g e s t	suggest
b r a n c h	branch
c h a r g e s	charges
s e r v e	serve
a f f i l i a t e s	affiliates
r e a s o n s	reasons
m a g i c	magic
m o u n t	mount
s m a r t	smart
t a l k i n g	talking
g a v e	gave
o n e s	ones
l a t i n	latin
m u l t i m e d i a	multimedia
t i t s	tits
a v o i d	avoid
c e r t i f i e d	certified
m a n a g e	manage
c o r n e r	corner
r a n k	rank
c o m p u t i n g	computing
o r e g o n	oregon
e l e m e n t	element
b i r t h	birth
v i r u s	virus
a b u s e	abuse
i n t e r a c t i v e	interactive
r e q u e s t s	requests
s e p a r a t e	separate
q u a r t e r	quarter
p r o c e d u r e	procedure
l e a d e r s h i p	leadership
t a b l e s	tables
d e f i n e	define
r a c i n g	racing
r e l i g i o u s	religious
f a c t s	facts
b r e a k f a s t	breakfast
k o n g	kong
c o l u m n	column
p l a n t s	plants
f a i t h	faith
c h a i n	chain
d e v e l o p e r	developer
i d e n t i f y	identify
a v e n u e	avenue
m i s s i n g	missing
d i e d	died
a p p r o x i m a t e l y	approximately
d o m e s t i c	domestic
s i t e m a p	sitemap
r e c o m m e n d a t i o n s	recommendations
m o v e d	moved
h o u s t o n	houston
r e a c h	reach
c o m p a r i s o n	comparison
m e n t a l	mental
v i e w e d	viewed
m o m e n t	moment
e x t e n d e d	extended
s e q u e n c e	sequence
i n c h	inch
a t t a c k	attack
s o r r y	sorry
c e n t e r s	centers
o p e n i n g	opening
d a m a g e	damage
l a b	lab
r e s e r v e	reserve
r e c i p e s	recipes
c v s	cvs
g a m m a	gamma
p l a s t i c	plastic
p r o d u c e	produce
s n o w	snow
p l a c e d	placed
t r u t h	truth
c o u n t e r	counter
f a i l u r e	failure
f o l l o w s	follows
w e e k e n d	weekend
d o l l a r	dollar
c a m p	camp
o n t a r i o	ontario
a u t o m a t i c a l l y	automatically
d e s	des
m i n n e s o t a	minnesota
f i l m s	films
b r i d g e	bridge
n a t i v e	native
f i l l	fill
w i l l i a m s	williams
m o v e m e n t	movement
p r i n t i n g	printing
b a s e b a l l	baseball
o w n e d	owned
a p p r o v a l	approval
d r a f t	draft
c h a r t	chart
p l a y e d	played
c o n t a c t s	contacts
j e s u s	jesus
r e a d e r s	readers
c l u b s	clubs
l c d	lcd
j a c k s o n	jackson
e q u a l	equal
a d v e n t u r e	adventure
m a t c h i n g	matching
o f f e r i n g	offering
s h i r t s	shirts
p r o f i t	profit
l e a d e r s	leaders
p o s t e r s	posters
i n s t i t u t i o n s	institutions
a s s i s t a n t	assistant
v a r i a b l e	variable
a v e	ave
a d v e r t i s e m e n t	advertisement
e x p e c t	expect
p a r k i n g	parking
h e a d l i n e s	headlines
y e s t e r d a y	yesterday
c o m p a r e d	compared
d e t e r m i n e d	determined
w h o l e s a l e	wholesale
w o r k s h o p	workshop
r u s s i a	russia
g o n e	gone
c o d e s	codes
k i n d s	kinds
e x t e n s i o n	extension
s e a t t l e	seattle
s t a t e m e n t s	statements
g o l d e n	golden
c o m p l e t e l y	completely
t e a m s	teams
f o r t	fort
l i g h t i n g	lighting
s e n a t e	senate
f o r c e s	forces
f u n n y	funny
b r o t h e r	brother
g e n e	gene
t u r n e d	turned
p o r t a b l e	portable
t r i e d	tried
e l e c t r i c a l	electrical
a p p l i c a b l e	applicable
d i s c	disc
r e t u r n e d	returned
p a t t e r n	pattern
h e n t a i	hentai
b o a t	boat
n a m e d	named
t h e a t r e	theatre
l a s e r	laser
e a r l i e r	earlier
m a n u f a c t u r e r s	manufacturers
s p o n s o r	sponsor
c l a s s i c a l	classical
i c o n	icon
w a r r a n t y	warranty
d e d i c a t e d	dedicated
i n d i a n a	indiana
d i r e c t i o n	direction
h a r r y	harry
b a s k e t b a l l	basketball
o b j e c t s	objects
e n d s	ends
d e l e t e	delete
e v e n i n g	evening
a s s e m b l y	assembly
n u c l e a r	nuclear
t a x e s	taxes
m o u s e	mouse
s i g n a l	signal
c r i m i n a l	criminal
i s s u e d	issued
b r a i n	brain
s e x u a l	sexual
w i s c o n s i n	wisconsin
p o w e r f u l	powerful
d r e a m	dream
o b t a i n e d	obtained
f a l s e	false
c a s t	cast
f l o w e r	flower
f e l t	felt
p e r s o n n e l	personnel
p a s s e d	passed
s u p p l i e d	supplied
i d e n t i f i e d	identified
f a l l s	falls
p i c	pic
s o u l	soul
a i d s	aids
o p i n i o n s	opinions
p r o m o t e	promote
s t a t e d	stated
s t a t s	stats
h a w a i i	hawaii
p r o f e s s i o n a l s	professionals
a p p e a r s	appears
c a r r y	carry
f l a g	flag
d e c i d e d	decided
c o v e r s	covers
a d v a n t a g e	advantage
h e l l o	hello
d e s i g n s	designs
m a i n t a i n	maintain
t o u r i s m	tourism
p r i o r i t y	priority
n e w s l e t t e r s	newsletters
