input1	label
kvtfs	k v t f s
rgpcf	r g p c f
pcxg	p c x g
zmhtjc	z m h t j c
hmfnrd	h m f n r d
wgjftvkl	w g j f t v k l
kqsthx	k q s t h x
crwf	c r w f
lfsvdxt	l f s v d x t
wnrtbshq	w n r t b s h q
kflhb	k f l h b
plbsghfckztv	p l b s g h f c k z t v
bnzdcl	b n z d c l
nxg	n x g
cvzfpgsbkn	c v z f p g s b k n
stnlp	s t n l p
vldhqkprt	v l d h q k p r t
jqhf	j q h f
dtrv	d t r v
bmv	b m v
xkw	x k w
hjcdm	h j c d m
tnkv	t n k v
rtmg	r t m g
rsdwkxmt	r s d w k x m t
wslp	w s l p
ftqrl	f t q r l
bcvxqp	b c v x q p
htwngmxcklb	h t w n g m x c k l b
ztn	z t n
sgvkwhpnfbdmlr	s g v k w h p n f b d m l r
pxw	p x w
jvkbqdgmzx	j v k b q d g m z x
dmktzg	d m k t z g
dqfbphr	d q f b p h r
vwgtck	v w g t c k
vbjgxrz	v b j g x r z
vmhgfw	v m h g f w
ctrv	c t r v
dsmhlwj	d s m h l w j
hxcpvw	h x c p v w
vfbjsrdzlw	v f b j s r d z l w
hvxjtc	h v x j t c
hwfgl	h w f g l
hrpxtbwv	h r p x t b w v
bdvtgjzh	b d v t g j z h
jphtrvmfs	j p h t r v m f s
jrnhgkqwfzbpc	j r n h g k q w f z b p c
gsthmnw	g s t h m n w
rbxkdnv	r b x k d n v
pqr	p q r
vgxmf	v g x m f
fgnqkd	f g n q k d
fnlbsvkq	f n l b s v k q
xqbnwfctdkj	x q b n w f c t d k j
zwhsvfjg	z w h s v f j g
rjchdns	r j c h d n s
qpzfr	q p z f r
bvwfgjzt	b v w f g j z t
hqgscmdvw	h q g s c m d v w
tsrf	t s r f
bflw	b f l w
jmbsrvdz	j m b s r v d z
sknf	s k n f
sgdb	s g d b
bdvshwg	b d v s h w g
hgvmjdr	h g v m j d r
rqmgd	r q m g d
hpfzl	h p f z l
qsrzt	q s r z t
nzl	n z l
cfnrp	c f n r p
vqnmht	v q n m h t
hzgfsdjbt	h z g f s d j b t
wtcbl	w t c b l
fltb	f l t b
qbpsjk	q b p s j k
kmtzxr	k m t z x r
bksdv	b k s d v
bqgwjrhls	b q g w j r h l s
jcphr	j c p h r
zxngv	z x n g v
jkrl	j k r l
bspgkd	b s p g k d
rplmcbf	r p l m c b f
mqnfdv	m q n f d v
dmjpcxvfgh	d m j p c x v f g h
bzwsfpq	b z w s f p q
zrfqbk	z r f q b k
kpjmsnzbgf	k p j m s n z b g f
rbqmvwdnpk	r b q m v w d n p k
khvdxmnpj	k h v d x m n p j
cfh	c f h
bmptqw	b m p t q w
clhfdwzb	c l h f d w z b
tkvqldz	t k v q l d z
chwstngbm	c h w s t n g b m
wlfbk	w l f b k
mdnxqr	m d n x q r
pcxfnkts	p c x f n k t s
tkcdvxhqgb	t k c d v x h q g b
pjvlqd	p j v l q d
xdtnlq	x d t n l q
mkcghp	m k c g h p
zklfrmvn	z k l f r m v n
nzfjmtlg	n z f j m t l g
bwx	b w x
glbtcxf	g l b t c x f
wlx	w l x
kbdfw	k b d f w
wlvfxgmbqstp	w l v f x g m b q s t p
mlznh	m l z n h
bdv	b d v
nvjtwsxgd	n v j t w s x g d
nlqhvpz	n l q h v p z
qfmcndvjst	q f m c n d v j s t
dzcpqhnjr	d z c p q h n j r
pfmx	p f m x
ltfwzq	l t f w z q
zqjv	z q j v
bhfgqjpr	b h f g q j p r
fljhb	f l j h b
ckjbrfp	c k j b r f p
rfwbt	r f w b t
nlfhqd	n l f h q d
nhcfdgjl	n h c f d g j l
zsxvghfrtmwd	z s x v g h f r t m w d
cstvnbz	c s t v n b z
gzsqjl	g z s q j l
wxf	w x f
srkbnmpq	s r k b n m p q
rdnlpqb	r d n l p q b
grbwhsfcpv	g r b w h s f c p v
xnmvdfsw	x n m v d f s w
jbmfsw	j b m f s w
bmjrtkwg	b m j r t k w g
zmwr	z m w r
gvmdwrkfhpcjz	g v m d w r k f h p c j z
xfnctv	x f n c t v
xqsgfdh	x q s g f d h
jgzhtmsxk	j g z h t m s x k
mkxs	m k x s
twxrj	t w x r j
rlnmkqx	r l n m k q x
qfwr	q f w r
gpsblfxmdzc	g p s b l f x m d z c
zrt	z r t
dmkzhgc	d m k z h g c
qtnpk	q t n p k
sxbjhkq	s x b j h k q
wbfknr	w b f k n r
cfpktlb	c f p k t l b
tsbhprw	t s b h p r w
sngv	s n g v
vgfsw	v g f s w
hgnsktrq	h g n s k t r q
rhnw	r h n w
rhzgp	r h z g p
hgspdtzrwc	h g s p d t z r w c
dqclgb	d q c l g b
vwgm	v w g m
hjkl	h j k l
xszjbphq	x s z j b p h q
tvwps	t v w p s
tpxwrbzjql	t p x w r b z j q l
stfrngmpd	s t f r n g m p d
pjnzg	p j n z g
xqwmjrsn	x q w m j r s n
cgrwvd	c g r w v d
qvczd	q v c z d
gjpkzt	g j p k z t
mkntdcb	m k n t d c b
jnclrxq	j n c l r x q
qthxcmlnv	q t h x c m l n v
zhsktjlm	z h s k t j l m
nmglc	n m g l c
kmqpcnsl	k m q p c n s l
pkv	p k v
srfwjz	s r f w j z
gcknwlhs	g c k n w l h s
tzhcnlbsdfk	t z h c n l b s d f k
zkqmvbcrn	z k q m v b c r n
jtrmczw	j t r m c z w
nvrs	n v r s
jcktpnbms	j c k t p n b m s
vjbpf	v j b p f
tdqc	t d q c
xvlhwcb	x v l h w c b
xcsnqhr	x c s n q h r
dzvrm	d z v r m
hkwqtsvrjzb	h k w q t s v r j z b
jkdcv	j k d c v
zrjptwvblhxs	z r j p t w v b l h x s
zstbx	z s t b x
xfjvhs	x f j v h s
qjsmnpr	q j s m n p r
sdkxtv	s d k x t v
csrmjpbg	c s r m j p b g
swtxkbpzfhrq	s w t x k b p z f h r q
zdlr	z d l r
ktp	k t p
hkr	h k r
rnwxstmlk	r n w x s t m l k
jbcn	j b c n
zwc	z w c
gxjkwbs	g x j k w b s
mwqsg	m w q s g
kpc	k p c
krv	k r v
hvjqk	h v j q k
xckpqbn	x c k p q b n
mhprfljn	m h p r f l j n
nmg	n m g
qswxvb	q s w x v b
tclnbv	t c l n b v
sdrlntkxm	s d r l n t k x m
wdkrgqxjmn	w d k r g q x j m n
pwjr	p w j r
pgv	p g v
hncmrbt	h n c m r b t
qktpvxfcb	q k t p v x f c b
lrqpmh	l r q p m h
vljpm	v l j p m
qhwdlxpj	q h w d l x p j
nqkh	n q k h
mrnlt	m r n l t
tdbwn	t d b w n
grc	g r c
frqzwh	f r q z w h
bgcwmj	b g c w m j
dwmrvjl	d w m r v j l
wbdc	w b d c
jgxdtqlh	j g x d t q l h
vdnp	v d n p
tjrxz	t j r x z
kznfptm	k z n f p t m
hkqfj	h k q f j
pbwdvk	p b w d v k
mntkv	m n t k v
jnbpvrm	j n b p v r m
dbhlxvkj	d b h l x v k j
pszr	p s z r
ltfzrp	l t f z r p
fzgtv	f z g t v
kjxrczdlgw	k j x r c z d l g w
vxchk	v x c h k
mtzbvs	m t z b v s
pjlqzthvgnk	p j l q z t h v g n k
rpmqzxs	r p m q z x s
pkgdn	p k g d n
knlfwvjm	k n l f w v j m
knwglps	k n w g l p s
ckszmqf	c k s z m q f
rqspfxz	r q s p f x z
jlnb	j l n b
fsdckvjn	f s d c k v j n
pmbqjlrz	p m b q j l r z
swvr	s w v r
tdjwrq	t d j w r q
qhmcv	q h m c v
mjrpnst	m j r p n s t
gclkfb	g c l k f b
pbrxmtk	p b r x m t k
ftzbjwrml	f t z b j w r m l
mwpvkfd	m w p v k f d
hkfljcqwgtx	h k f l j c q w g t x
cqnkwlfzjb	c q n k w l f z j b
nbsczlvfjwkpgr	n b s c z l v f j w k p g r
sxdpgjkfhq	s x d p g j k f h q
hdqk	h d q k
dsmrb	d s m r b
nbzcr	n b z c r
xzlfcpnmsdr	x z l f c p n m s d r
gszh	g s z h
xsrpbkngd	x s r p b k n g d
tvxnr	t v x n r
dtw	d t w
rxbjtckn	r x b j t c k n
crplqfz	c r p l q f z
bxkfg	b x k f g
gknqtdczlbr	g k n q t d c z l b r
mtvxrzgn	m t v x r z g n
wpmj	w p m j
vkghldcnxs	v k g h l d c n x s
vglbnwtp	v g l b n w t p
ltkzmpb	l t k z m p b
dxtmnsjq	d x t m n s j q
fqzwgdxkvl	f q z w g d x k v l
whsbmpvzq	w h s b m p v z q
ndzs	n d z s
xhdzswpv	x h d z s w p v
dwzlph	d w z l p h
zlnw	z l n w
sxj	s x j
lzvp	l z v p
npdbfxsc	n p d b f x s c
crqb	c r q b
xkzwf	x k z w f
pmlwkj	p m l w k j
wrmtzln	w r m t z l n
tjfcbshw	t j f c b s h w
hztjwqcbvdkmf	h z t j w q c b v d k m f
gzq	g z q
tmxjhs	t m x j h s
mfhscjp	m f h s c j p
mlfchvw	m l f c h v w
tdbsjm	t d b s j m
grhckqdp	g r h c k q d p
tzr	t z r
jxwcsznd	j x w c s z n d
bldkjr	b l d k j r
cjdfv	c j d f v
mfzdk	m f z d k
qpkwrd	q p k w r d
kdhnzs	k d h n z s
mtqhs	m t q h s
fclmthzr	f c l m t h z r
htkvsmg	h t k v s m g
wcspbzd	w c s p b z d
gpxl	g p x l
svzh	s v z h
lrjbgxd	l r j b g x d
twxg	t w x g
xdzmvwg	x d z m v w g
kgswxfqpj	k g s w x f q p j
fjztwv	f j z t w v
ntkg	n t k g
glvpjzc	g l v p j z c
zndxt	z n d x t
wdmrtzqj	w d m r t z q j
zhg	z h g
nltwqvbkpjcsdf	n l t w q v b k p j c s d f
txcp	t x c p
wpnf	w p n f
fczstqwd	f c z s t q w d
xpvjwzk	x p v j w z k
klwgcfvhqx	k l w g c f v h q x
jdcmxpb	j d c m x p b
qbprxd	q b p r x d
kcmblts	k c m b l t s
bjcqhlp	b j c q h l p
drjb	d r j b
zvnpfjkrdm	z v n p f j k r d m
zjmtkqg	z j m t k q g
sgj	s g j
jmnkcs	j m n k c s
qwhbz	q w h b z
knwvzdhq	k n w v z d h q
rmdn	r m d n
pwmstndf	p w m s t n d f
kdbrf	k d b r f
bcfwqklz	b c f w q k l z
zcprd	z c p r d
sgprzvlntqd	s g p r z v l n t q d
dvgj	d v g j
tlbwch	t l b w c h
jxzcmbl	j x z c m b l
qtdvmxwp	q t d v m x w p
bqkgxwjr	b q k g x w j r
qpwm	q p w m
nvwzshjm	n v w z s h j m
mtnpfhgscv	m t n p f h g s c v
kxcjsf	k x c j s f
bkxzwm	b k x z w m
ztxfqrhsj	z t x f q r h s j
cqp	c q p
sdkjhbtgcrp	s d k j h b t g c r p
rnjqldx	r n j q l d x
vnzfb	v n z f b
bgsxwjrkq	b g s x w j r k q
zpqcsl	z p q c s l
mpsxqg	m p s x q g
psfzqn	p s f z q n
rtz	r t z
pghqdk	p g h q d k
xlksndmvhg	x l k s n d m v h g
bvfmqlrwpsj	b v f m q l r w p s j
hxtdf	h x t d f
bfjgrslh	b f j g r s l h
zpqjdfrh	z p q j d f r h
gzp	g z p
djhwqp	d j h w q p
xmgb	x m g b
stmzxgv	s t m z x g v
sjlkv	s j l k v
kzbprfts	k z b p r f t s
vhzsrwlxk	v h z s r w l x k
wcdgbp	w c d g b p
vszbjx	v s z b j x
qtvp	q t v p
vjnstbrg	v j n s t b r g
pmdtfz	p m d t f z
nmfkvlcjds	n m f k v l c j d s
lnkxtmvjqz	l n k x t m v j q z
vrqk	v r q k
cmzxj	c m z x j
hlcfxdgr	h l c f x d g r
hmqxtfzrcn	h m q x t f z r c n
qxhn	q x h n
khcrw	k h c r w
ctdz	c t d z
fsk	f s k
spwvcz	s p w v c z
jhctflm	j h c t f l m
htvjxb	h t v j x b
qwvxtdl	q w v x t d l
fngczw	f n g c z w
xfc	x f c
vbmhqf	v b m h q f
blkfwg	b l k f w g
lbqmdht	l b q m d h t
cnphbq	c n p h b q
hnrxtlqmjkw	h n r x t l q m j k w
wrgvchs	w r g v c h s
dwzf	d w z f
bzs	b z s
xtfrml	x t f r m l
zbxr	z b x r
txcqpvksgjb	t x c q p v k s g j b
zcnkwqlh	z c n k w q l h
kshdw	k s h d w
nhvczxmdg	n h v c z x m d g
lrdtbjkqmvcz	l r d t b j k q m v c z
kqb	k q b
cmxwkqg	c m x w k q g
nxzbqj	n x z b q j
mvqnj	m v q n j
frqhvs	f r q h v s
nhg	n h g
vfstmrz	v f s t m r z
rcdqzjx	r c d q z j x
mbzhlp	m b z h l p
plrm	p l r m
vrlwxhg	v r l w x h g
bsxdkjgm	b s x d k j g m
pbsv	p b s v
wgvrhj	w g v r h j
fmzhgb	f m z h g b
ndcvp	n d c v p
jcptsnrd	j c p t s n r d
vnzchp	v n z c h p
ctrpqsbmd	c t r p q s b m d
bjxzsh	b j x z s h
zthn	z t h n
pnsbg	p n s b g
nzghc	n z g h c
cjbsxgzhqmvdn	c j b s x g z h q m v d n
rxdvt	r x d v t
jdxlw	j d x l w
wdlmt	w d l m t
mqdgrzsfb	m q d g r z s f b
wszvd	w s z v d
bmswxfghld	b m s w x f g h l d
hfszndc	h f s z n d c
ghpldjs	g h p l d j s
fgcthsj	f g c t h s j
nvtrgjs	n v t r g j s
bztxk	b z t x k
nwdq	n w d q
dqwr	d q w r
kwznrl	k w z n r l
lswhbrcz	l s w h b r c z
lnswxrdf	l n s w x r d f
qtbwfv	q t b w f v
qxl	q x l
bpshk	b p s h k
xzctvg	x z c t v g
htrbgjzp	h t r b g j z p
xbj	x b j
prdgxjlmqbs	p r d g x j l m q b s
jmgpvf	j m g p v f
pzwfktd	p z w f k t d
gczfrq	g c z f r q
nftqsvrdwg	n f t q s v r d w g
zrhn	z r h n
qnpslwd	q n p s l w d
wstxfrp	w s t x f r p
jgbcfrlhd	j g b c f r l h d
jwpcvsmkdg	j w p c v s m k d g
mqwx	m q w x
hvkx	h v k x
bcp	b c p
nfrmg	n f r m g
rhwsbvlzkq	r h w s b v l z k q
fmcx	f m c x
mlncxdz	m l n c x d z
njb	n j b
vjzx	v j z x
hkmbzndgfrlv	h k m b z n d g f r l v
hlqmjbk	h l q m j b k
lpwf	l p w f
wsbvztd	w s b v z t d
bhfvsgq	b h f v s g q
hmbgw	h m b g w
vcjwqzplndh	v c j w q z p l n d h
bmtpdf	b m t p d f
xmq	x m q
cmzpfkb	c m z p f k b
kpnjmflr	k p n j m f l r
qdbvc	q d b v c
vqnltmg	v q n l t m g
lnzmkpwd	l n z m k p w d
ftnxvmj	f t n x v m j
xmvzgbn	x m v z g b n
qjbw	q j b w
pmkcg	p m k c g
tcs	t c s
dzrwm	d z r w m
rzmxnvw	r z m x n v w
lwdq	l w d q
pndlmbwtx	p n d l m b w t x
xlzmpbf	x l z m p b f
xgljqfr	x g l j q f r
lngqds	l n g q d s
kvqj	k v q j
bwqgsrjx	b w q g s r j x
lzw	l z w
bdhzmk	b d h z m k
pqmrtkdfzg	p q m r t k d f z g
xgv	x g v
skqvhndfz	s k q v h n d f z
rdwqhlvbfnt	r d w q h l v b f n t
hrnwk	h r n w k
hgnc	h g n c
kvtcbhmnfz	k v t c b h m n f z
wfhcsbzt	w f h c s b z t
fwzqkm	f w z q k m
tdjpsvrwgxhkfc	t d j p s v r w g x h k f c
dhl	d h l
bpjt	b p j t
dxmb	d x m b
vfwbrns	v f w b r n s
tgq	t g q
fvrgmhntd	f v r g m h n t d
jmhgqswzdb	j m h g q s w z d b
fqp	f q p
bcxzthmrg	b c x z t h m r g
rmch	r m c h
tsjf	t s j f
xjtl	x j t l
xzwhkblp	x z w h k b l p
bpvlhfdrzq	b p v l h f d r z q
bsxcqfhtvm	b s x c q f h t v m
sptqbz	s p t q b z
xvmfnbj	x v m f n b j
jztxflmq	j z t x f l m q
nbmvqtfg	n b m v q t f g
pwgqntk	p w g q n t k
sbfnx	s b f n x
qlzfn	q l z f n
hpjtqsx	h p j t q s x
snwkqzp	s n w k q z p
pzbcrnj	p z b c r n j
rdmxsnk	r d m x s n k
xkgtpwdf	x k g t p w d f
xrjfg	x r j f g
pzrjbwg	p z r j b w g
kswngdqcxp	k s w n g d q c x p
cmltnsrgh	c m l t n s r g h
cbxrpnf	c b x r p n f
qjhftwprvm	q j h f t w p r v m
swjd	s w j d
scbmthfwdk	s c b m t h f w d k
hwtzvgmd	h w t z v g m d
pnlgr	p n l g r
ltmdp	l t m d p
wsrdpv	w s r d p v
krwxgptqd	k r w x g p t q d
srlhfvgw	s r l h f v g w
djgvmh	d j g v m h
hmxrvpsct	h m x r v p s c t
mjfx	m j f x
qwkszgb	q w k s z g b
rpj	r p j
msvbl	m s v b l
vcpwx	v c p w x
bdcsrxlvnpt	b d c s r x l v n p t
klcfgtnb	k l c f g t n b
jtkzh	j t k z h
sxkbn	s x k b n
sxpvcf	s x p v c f
knpzhdb	k n p z h d b
qgwztcp	q g w z t c p
tlvkbcw	t l v k b c w
kvt	k v t
xcfhzq	x c f h z q
vflhndgk	v f l h n d g k
rmjxhslbzt	r m j x h s l b z t
mfpqnrb	m f p q n r b
dkphfnw	d k p h f n w
brjcv	b r j c v
mzb	m z b
gfl	g f l
bthqmp	b t h q m p
phcrwkq	p h c r w k q
cfstkv	c f s t k v
tgf	t g f
fwdjpsngzxbm	f w d j p s n g z x b m
xscbwzvml	x s c b w z v m l
kxlfsn	k x l f s n
wzckq	w z c k q
wvfst	w v f s t
svcztw	s v c z t w
bjvrh	b j v r h
whxrckqln	w h x r c k q l n
vfxbdcr	v f x b d c r
btcn	b t c n
htnq	h t n q
tfcg	t f c g
dqbfvpg	d q b f v p g
xpjn	x p j n
zwt	z w t
bfpjwgxhlk	b f p j w g x h l k
ljfmvcq	l j f m v c q
cnwzbgk	c n w z b g k
ntzwrcv	n t z w r c v
kjrlvw	k j r l v w
ctgvxbw	c t g v x b w
lvhb	l v h b
lxhwd	l x h w d
xbclg	x b c l g
dvrb	d v r b
grfcz	g r f c z
mhcjf	m h c j f
ljwfztgx	l j w f z t g x
nqgtbzmskwd	n q g t b z m s k w d
rsfjmdkw	r s f j m d k w
hxqbtpj	h x q b t p j
mzql	m z q l
mwkbg	m w k b g
gsrqjb	g s r q j b
hkvszm	h k v s z m
schqdngp	s c h q d n g p
zjxcrs	z j x c r s
mwvhkgf	m w v h k g f
rsmn	r s m n
hmfjrwkdzqv	h m f j r w k d z q v
npcftzxb	n p c f t z x b
spzlxj	s p z l x j
qdgkb	q d g k b
tqmlhxc	t q m l h x c
blcgvsfnqp	b l c g v s f n q p
kdbwstpv	k d b w s t p v
kpmshrqbdwzfl	k p m s h r q b d w z f l
dlqvgrh	d l q v g r h
jsmtxvh	j s m t x v h
dzxghw	d z x g h w
pqbtl	p q b t l
gnrfm	g n r f m
ctzkldgw	c t z k l d g w
mvqrkt	m v q r k t
pjcdmq	p j c d m q
mzwhpr	m z w h p r
frchpd	f r c h p d
xmgk	x m g k
wftqlc	w f t q l c
ndhjkwr	n d h j k w r
zwmsxvd	z w m s x v d
mtbhwz	m t b h w z
pnsrxjd	p n s r x j d
gdznwh	g d z n w h
fdmwqvjzpr	f d m w q v j z p r
jkgnl	j k g n l
jxrv	j x r v
vrkjcfntwq	v r k j c f n t w q
bgvk	b g v k
bqsh	b q s h
wdlfkcxpzqh	w d l f k c x p z q h
vxlhbpcg	v x l h b p c g
sxrnmhjpk	s x r n m h j p k
srmxvpgw	s r m x v p g w
zmnhjxb	z m n h j x b
hnfmsd	h n f m s d
jgnvrs	j g n v r s
rmjnvcbhxs	r m j n v c b h x s
lqncdk	l q n c d k
klftgrsjv	k l f t g r s j v
zfsrxmqnbw	z f s r x m q n b w
cxvnm	c x v n m
qxdmswjc	q x d m s w j c
kqxrvcn	k q x r v c n
jbptlzgkm	j b p t l z g k m
zlkq	z l k q
fqxhsmczvtg	f q x h s m c z v t g
sjlt	s j l t
mhstdvpxqgkbr	m h s t d v p x q g k b r
qdflkbx	q d f l k b x
njcdfr	n j c d f r
fthnzwmxbv	f t h n z w m x b v
hqvkb	h q v k b
sxc	s x c
sndwxtfl	s n d w x t f l
fgpkzhqbr	f g p k z h q b r
xthplgw	x t h p l g w
jpfcwsk	j p f c w s k
wmntjlzgk	w m n t j l z g k
jvnqbgwtxs	j v n q b g w t x s
ngrtjmfsk	n g r t j m f s k
njv	n j v
ckbtf	c k b t f
nrbxtmq	n r b x t m q
rvfzbpqh	r v f z b p q h
vwntzgj	v w n t z g j
bgc	b g c
vgzw	v g z w
pjtb	p j t b
jkhbfnlgrxpm	j k h b f n l g r x p m
jrtpgwk	j r t p g w k
shpnjg	s h p n j g
wts	w t s
pnzjgfvd	p n z j g f v d
qwn	q w n
mjlzn	m j l z n
cwrjsnfm	c w r j s n f m
rxmjd	r x m j d
bkrdtz	b k r d t z
xlpw	x l p w
rfmn	r f m n
hgjnfz	h g j n f z
vmpb	v m p b
ngjbxfdctl	n g j b x f d c t l
vrnh	v r n h
zvswfk	z v s w f k
jsxmcqdp	j s x m c q d p
dzc	d z c
qwbv	q w b v
rszjchg	r s z j c h g
fpzrmbg	f p z r m b g
ntmhvcsqbk	n t m h v c s q b k
vktfrnxz	v k t f r n x z
xpltrnf	x p l t r n f
qhkn	q h k n
tpjdwbzsvlnc	t p j d w b z s v l n c
gkqczpf	g k q c z p f
zflds	z f l d s
gkpdqjsr	g k p d q j s r
xthps	x t h p s
zcx	z c x
mhf	m h f
cngxpqdls	c n g x p q d l s
lzmpc	l z m p c
sxqcdtjn	s x q c d t j n
sdpvgj	s d p v g j
zbrdj	z b r d j
gztfsm	g z t f s m
fqt	f q t
btfkwjsd	b t f k w j s d
kzmxcfhs	k z m x c f h s
rnlbpdhfjz	r n l b p d h f j z
cknv	c k n v
vlkmbxpdtn	v l k m b x p d t n
fnswmldzvptxq	f n s w m l d z v p t x q
dtlwpxks	d t l w p x k s
xrzkc	x r z k c
rjvnbmq	r j v n b m q
xlzqkb	x l z q k b
gvpqn	g v p q n
xbdmqs	x b d m q s
pnj	p n j
xbvmhnq	x b v m h n q
psqmvzt	p s q m v z t
pbjrw	p b j r w
lvcntbmpx	l v c n t b m p x
xpnwdqh	x p n w d q h
phngdqr	p h n g d q r
xfkln	x f k l n
rxlsbjd	r x l s b j d
hrpqnmtsd	h r p q n m t s d
zcnbwrxgm	z c n b w r x g m
rclj	r c l j
bfhm	b f h m
dpmzf	d p m z f
rgjct	r g j c t
gldxkz	g l d x k z
rmntjvsdhz	r m n t j v s d h z
trf	t r f
jvnpmgh	j v n p m g h
xdvzfmt	x d v z f m t
lqjwgzx	l q j w g z x
bnqztspl	b n q z t s p l
dzkrpxbt	d z k r p x b t
gspcn	g s p c n
bwglmdv	b w g l m d v
zrknvmptlx	z r k n v m p t l x
pbhgmnz	p b h g m n z
mrwlh	m r w l h
qhpj	q h p j
kmtz	k m t z
kzqrjpcn	k z q r j p c n
gdbckfmsjw	g d b c k f m s j w
nkmbqs	n k m b q s
qdxf	q d x f
nrphbqmx	n r p h b q m x
qrfmgp	q r f m g p
pbqt	p b q t
nkxhtl	n k x h t l
wvdlfth	w v d l f t h
lzmxwhv	l z m x w h v
mfb	m f b
jxktrshln	j x k t r s h l n
jvglrm	j v g l r m
nvtcmwsl	n v t c m w s l
kcm	k c m
wrjvb	w r j v b
qzm	q z m
ftshngmcw	f t s h n g m c w
bkmdwt	b k m d w t
fkgbzwc	f k g b z w c
vsdrhm	v s d r h m
pfhdsxmqw	p f h d s x m q w
jdrz	j d r z
qcwbfjx	q c w b f j x
hgkdf	h g k d f
cxzvqdrl	c x z v q d r l
shtpxmf	s h t p x m f
dhbgs	d h b g s
nwzhvjm	n w z h v j m
bvlmrkj	b v l m r k j
rzdjsqwxp	r z d j s q w x p
pgmjct	p g m j c t
tgbdlzsq	t g b d l z s q
bjzw	b j z w
thxdrngk	t h x d r n g k
gxdn	g x d n
fhwt	f h w t
stvkxlhp	s t v k x l h p
mrwqjgs	m r w q j g s
tfrncjsqk	t f r n c j s q k
wmlpzrxncfh	w m l p z r x n c f h
qtzc	q t z c
nmfjsrhzg	n m f j s r h z g
lrgzxp	l r g z x p
dzthm	d z t h m
knzq	k n z q
